label,d_value,regime,n,observable,chi_column,peak_T,peak_chi,peak_M,peak_Mz,peak_Mxy,lowT_M,lowT_Mz,lowT_Mxy,highT_M,highT_Mz,highT_Mxy
dm2,-2.0,easy_plane,16,Mxy,chi_xy,1.2,3.73526,0.696684,0.008274,0.696608,0.696684,0.008274,0.696608,0.023972,0.00939,0.020633
dm2_refine,-2.0,easy_plane,16,Mxy,chi_xy,1.0,164.189497,0.548445,0.007713,0.548339,0.548445,0.007713,0.548339,0.028831,0.00864,0.026359
dm2,-2.0,easy_plane,32,Mxy,chi_xy,1.2,98.180954,0.322843,0.00242,0.322826,0.322843,0.00242,0.322826,0.00783,0.003373,0.006528
dm2_refine,-2.0,easy_plane,32,Mxy,chi_xy,1.0,310.993007,0.385386,0.002525,0.385371,0.385386,0.002525,0.385371,0.00976,0.003727,0.00851
d0,0.0,isotropic,16,M,chi,1.4583,9.658702,0.21694,0.113971,0.165751,0.687189,0.347139,0.535143,0.034544,0.017239,0.027153
d0,0.0,isotropic,32,M,chi,1.4583,31.843838,0.119834,0.064346,0.090744,0.67707,0.350701,0.521436,0.012226,0.006186,0.009542
dp2,2.0,easy_axis,16,Mz,chi_z,2.5,0.340322,0.025898,0.018307,0.015318,0.025898,0.018307,0.015318,0.018121,0.009391,0.013707
dp2_refine,2.0,easy_axis,16,Mz,chi_z,0.8917,24.060357,0.445996,0.445664,0.015494,0.162138,0.161337,0.012445,0.02138,0.012614,0.015154
dp2,2.0,easy_axis,32,Mz,chi_z,2.6042,0.31852,0.010705,0.00781,0.006189,0.008401,0.004291,0.006473,0.007346,0.004581,0.005164
dp2_refine,2.0,easy_axis,32,Mz,chi_z,1.4417,47.822184,0.586564,0.586524,0.006095,0.043346,0.043023,0.004708,0.007433,0.004133,0.005397
