T,E,E_err,M,M_err,M2,M2_err,M4,M4_err,Cv,Cv_err,chi,chi_err,Mz,Mz_err,Mz2,Mz2_err,Mz4,Mz4_err,chi_z,chi_z_err,Mxy,Mxy_err,Mxy2,Mxy2_err,Mxy4,Mxy4_err,chi_xy,chi_xy_err
1.0000,-1.849282,0.002281,0.687189,0.000929,0.472312,0.001280,0.223238,0.001214,1.588029,0.135660,0.344275,0.031098,0.347139,0.009034,0.161130,0.006102,0.046532,0.002462,166.396049,4.426892,0.535143,0.006445,0.311182,0.005974,0.117312,0.003361,101.599473,5.831021
1.0417,-1.785856,0.002500,0.666732,0.001464,0.444669,0.001945,0.197974,0.001718,1.729485,0.187182,0.541097,0.078490,0.339469,0.011962,0.153310,0.008345,0.041782,0.003169,149.699621,3.378408,0.517939,0.009413,0.291359,0.008661,0.103314,0.004591,90.826225,5.492507
1.0833,-1.726402,0.002071,0.647513,0.000945,0.419394,0.001218,0.176091,0.001013,1.423668,0.180482,0.454517,0.050014,0.315920,0.008706,0.134579,0.005997,0.032926,0.002240,131.475180,4.830821,0.515468,0.006822,0.284815,0.006034,0.095950,0.002966,72.242898,4.661712
1.1250,-1.659584,0.002270,0.622305,0.001162,0.387404,0.001442,0.150298,0.001111,1.306468,0.182152,0.510600,0.045958,0.318089,0.007921,0.131859,0.005351,0.030138,0.001866,111.698832,3.266453,0.487099,0.006341,0.255545,0.005316,0.078243,0.002375,66.552269,4.001728
1.1667,-1.588079,0.003316,0.596187,0.001519,0.355655,0.001803,0.126792,0.001273,1.797050,0.161221,0.755101,0.071274,0.304245,0.008375,0.123254,0.005327,0.026877,0.001655,107.742739,3.144994,0.461764,0.006544,0.232401,0.005454,0.066010,0.002368,67.321259,3.814889
1.2083,-1.513707,0.003525,0.567103,0.001793,0.321848,0.002025,0.103895,0.001295,1.894664,0.227575,0.820721,0.071427,0.301748,0.007677,0.118301,0.005104,0.023852,0.001655,92.370450,3.358577,0.430590,0.007277,0.203546,0.005176,0.051391,0.001805,61.486783,4.707114
1.2500,-1.444874,0.004080,0.537969,0.001803,0.289697,0.001940,0.084254,0.001127,2.235349,0.401907,0.936957,0.086055,0.263079,0.005438,0.093422,0.002969,0.016012,0.000780,79.335494,2.711956,0.427114,0.004548,0.196275,0.003434,0.045963,0.001299,45.379254,3.170243
1.2917,-1.364493,0.003284,0.501462,0.001740,0.251775,0.001735,0.063700,0.000866,1.491850,0.191282,0.986504,0.095333,0.250353,0.005264,0.083038,0.002916,0.012468,0.000729,64.567043,2.527207,0.395894,0.004781,0.168737,0.003348,0.033993,0.001067,38.069632,2.421124
1.3333,-1.275356,0.004299,0.455920,0.002502,0.208331,0.002272,0.043786,0.000944,1.953312,0.244126,1.437802,0.137223,0.221536,0.004787,0.066567,0.002238,0.008326,0.000427,53.725431,1.249286,0.362274,0.004146,0.141764,0.002764,0.024167,0.000760,32.322606,1.524240
1.3750,-1.175394,0.004569,0.397788,0.003103,0.159097,0.002454,0.025838,0.000783,2.358241,0.399191,2.567441,0.256625,0.199531,0.005106,0.052828,0.002246,0.005077,0.000330,38.772547,1.218949,0.312833,0.005341,0.106269,0.003166,0.013799,0.000690,25.034404,0.977682
1.4167,-1.073938,0.005437,0.323030,0.004800,0.105733,0.003001,0.011728,0.000611,2.262896,0.339965,4.003031,0.430739,0.161636,0.003619,0.034852,0.001403,0.002242,0.000154,25.229074,0.904738,0.255054,0.005042,0.070881,0.002546,0.006285,0.000393,16.850450,0.700039
1.4583,-0.972526,0.005112,0.216940,0.006500,0.050502,0.002938,0.003177,0.000366,2.343718,0.490705,9.658702,1.047090,0.113971,0.004081,0.018334,0.001274,0.000725,0.000099,15.010670,1.116394,0.165751,0.004756,0.032168,0.001762,0.001585,0.000173,13.186688,0.850746
1.5000,-0.902829,0.004314,0.144904,0.004431,0.023497,0.001376,0.000779,0.000087,1.424820,0.229271,6.825291,0.448777,0.074173,0.002846,0.008193,0.000599,0.000173,0.000024,7.348262,0.523446,0.112705,0.003559,0.015304,0.000878,0.000390,0.000040,7.103870,0.291496
1.5417,-0.837437,0.003587,0.094455,0.002459,0.010410,0.000525,0.000173,0.000017,1.238547,0.101143,3.954201,0.199038,0.047861,0.001299,0.003535,0.000187,0.000036,0.000004,3.307000,0.191848,0.074010,0.002166,0.006875,0.000376,0.000089,0.000009,3.712188,0.192022
1.5833,-0.802037,0.003017,0.079407,0.001287,0.007316,0.000210,0.000084,0.000004,0.939702,0.079580,2.614412,0.056569,0.038480,0.001046,0.002318,0.000112,0.000015,0.000001,2.165963,0.109531,0.062967,0.001147,0.004998,0.000159,0.000048,0.000003,2.673250,0.077838
1.6250,-0.765073,0.003049,0.064613,0.000958,0.004873,0.000138,0.000038,0.000002,0.741684,0.085453,1.759582,0.056410,0.032605,0.000613,0.001649,0.000054,0.000008,0.000000,1.477691,0.049163,0.050457,0.000933,0.003224,0.000108,0.000020,0.000001,1.708074,0.053296
1.6667,-0.733708,0.003204,0.057401,0.001029,0.003870,0.000136,0.000025,0.000002,0.738843,0.141973,1.414642,0.052511,0.028707,0.000723,0.001301,0.000071,0.000005,0.000001,1.172684,0.077087,0.045063,0.000757,0.002569,0.000091,0.000013,0.000001,1.323453,0.064677
1.7083,-0.699026,0.002648,0.050510,0.000717,0.003011,0.000085,0.000015,0.000001,0.609634,0.109400,1.103044,0.044875,0.025174,0.000560,0.000985,0.000042,0.000003,0.000000,0.843202,0.039059,0.039748,0.000675,0.002026,0.000070,0.000008,0.000001,1.069350,0.046252
1.7500,-0.676599,0.002139,0.047688,0.000682,0.002665,0.000078,0.000012,0.000001,0.475459,0.067281,0.914638,0.040935,0.023381,0.000480,0.000886,0.000038,0.000002,0.000000,0.793284,0.041665,0.037733,0.000558,0.001779,0.000050,0.000006,0.000000,0.832247,0.030996
1.7917,-0.656734,0.002370,0.044605,0.000616,0.002352,0.000063,0.000009,0.000000,0.472468,0.056350,0.829451,0.026148,0.021956,0.000330,0.000771,0.000024,0.000002,0.000000,0.660166,0.026696,0.035109,0.000652,0.001582,0.000055,0.000005,0.000000,0.797669,0.030463
1.8333,-0.633785,0.002430,0.042338,0.000477,0.002096,0.000046,0.000007,0.000000,0.499008,0.080685,0.679183,0.021440,0.021550,0.000410,0.000719,0.000023,0.000001,0.000000,0.569244,0.021270,0.032968,0.000420,0.001377,0.000036,0.000004,0.000000,0.648776,0.020490
1.8750,-0.614665,0.001858,0.038925,0.000373,0.001778,0.000035,0.000005,0.000000,0.430784,0.046751,0.574411,0.023703,0.019332,0.000332,0.000583,0.000018,0.000001,0.000000,0.456834,0.014333,0.030593,0.000405,0.001195,0.000033,0.000003,0.000000,0.566548,0.026868
1.9167,-0.597267,0.002217,0.037956,0.000470,0.001688,0.000041,0.000005,0.000000,0.459903,0.047090,0.528437,0.020201,0.018671,0.000261,0.000544,0.000015,0.000001,0.000000,0.418157,0.014007,0.029945,0.000437,0.001144,0.000031,0.000003,0.000000,0.527776,0.017172
1.9583,-0.573222,0.002107,0.035174,0.000318,0.001462,0.000028,0.000004,0.000000,0.396590,0.039885,0.469358,0.018234,0.017103,0.000288,0.000477,0.000014,0.000001,0.000000,0.385055,0.012239,0.027814,0.000381,0.000985,0.000028,0.000002,0.000000,0.442212,0.017692
2.0000,-0.563192,0.001991,0.034544,0.000365,0.001395,0.000028,0.000003,0.000000,0.356117,0.046842,0.413261,0.011599,0.017239,0.000275,0.000467,0.000012,0.000001,0.000000,0.348244,0.009365,0.027153,0.000381,0.000928,0.000024,0.000002,0.000000,0.390315,0.011346
