T,E,E_err,M,M_err,M2,M2_err,M4,M4_err,Cv,Cv_err,chi,chi_err,Mz,Mz_err,Mz2,Mz2_err,Mz4,Mz4_err,chi_z,chi_z_err,Mxy,Mxy_err,Mxy2,Mxy2_err,Mxy4,Mxy4_err,chi_xy,chi_xy_err
1.2000,-1.563669,0.004711,0.696684,0.007423,0.486464,0.009845,0.238573,0.008747,2.343516,0.635761,3.735782,2.012693,0.008274,0.000650,0.000106,0.000015,0.000000,0.000000,0.129702,0.017274,0.696608,0.007422,0.486357,0.009843,0.238469,0.008743,3.735260,2.011762
1.2833,-1.435183,0.004042,0.682085,0.001491,0.465313,0.002032,0.216651,0.001888,1.896038,0.235788,0.232566,0.042504,0.008153,0.000717,0.000105,0.000016,0.000000,0.000000,0.123188,0.015783,0.682008,0.001489,0.465208,0.002029,0.216554,0.001885,0.232668,0.042372
1.3667,-1.277320,0.003898,0.637298,0.001609,0.406242,0.002051,0.165185,0.001668,1.638674,0.274871,0.281588,0.044312,0.007977,0.000539,0.000098,0.000013,0.000000,0.000000,0.103003,0.015062,0.637221,0.001608,0.406144,0.002049,0.165106,0.001666,0.281779,0.044484
1.4500,-1.102464,0.005874,0.579721,0.002665,0.336269,0.003061,0.113333,0.002023,2.391647,0.540117,0.545208,0.163062,0.007878,0.000566,0.000099,0.000015,0.000000,0.000000,0.103615,0.019714,0.579636,0.002663,0.336171,0.003058,0.113267,0.002021,0.545082,0.162768
1.5333,-0.907232,0.006850,0.510033,0.003349,0.260417,0.003458,0.068118,0.001852,2.437114,0.523384,0.757622,0.240537,0.008150,0.000540,0.000101,0.000013,0.000000,0.000000,0.091611,0.012684,0.509934,0.003348,0.260316,0.003456,0.068065,0.001851,0.757260,0.239936
1.6167,-0.691398,0.009360,0.411657,0.006935,0.170479,0.005694,0.029750,0.001960,3.700872,0.709674,2.576140,0.688614,0.010336,0.000768,0.000167,0.000022,0.000000,0.000000,0.152696,0.018793,0.411454,0.006939,0.170312,0.005694,0.029692,0.001958,2.577277,0.690513
1.7000,-0.421371,0.005219,0.207315,0.007950,0.044318,0.003257,0.002189,0.000308,1.260326,0.342501,3.224803,0.891068,0.009235,0.000782,0.000139,0.000023,0.000000,0.000000,0.130553,0.023537,0.206977,0.007949,0.044178,0.003253,0.002177,0.000307,3.225711,0.894212
1.7833,-0.277553,0.004995,0.091585,0.006753,0.009332,0.001147,0.000115,0.000023,1.117459,0.168966,2.167479,0.631629,0.011456,0.001082,0.000203,0.000037,0.000000,0.000000,0.165832,0.031788,0.090233,0.006904,0.009128,0.001140,0.000110,0.000022,2.264826,0.671424
1.8667,-0.214013,0.002971,0.061083,0.004870,0.004296,0.000636,0.000029,0.000009,0.675480,0.085277,1.239810,0.345993,0.011184,0.000931,0.000188,0.000030,0.000000,0.000000,0.137844,0.024130,0.059380,0.004908,0.004108,0.000615,0.000027,0.000008,1.277666,0.347664
1.9500,-0.139462,0.003556,0.054904,0.004247,0.003473,0.000483,0.000018,0.000004,0.671694,0.063978,0.964174,0.195187,0.009643,0.000785,0.000144,0.000023,0.000000,0.000000,0.106629,0.019911,0.053574,0.004251,0.003330,0.000469,0.000017,0.000004,0.965306,0.193774
2.0333,-0.098484,0.002934,0.040107,0.002867,0.001858,0.000231,0.000005,0.000001,0.442636,0.057568,0.502122,0.064464,0.010216,0.000809,0.000164,0.000025,0.000000,0.000000,0.119310,0.022334,0.037566,0.003090,0.001694,0.000233,0.000005,0.000001,0.570051,0.074544
2.1167,-0.052400,0.002658,0.034085,0.002184,0.001370,0.000171,0.000003,0.000001,0.435405,0.044665,0.402925,0.066120,0.010536,0.000913,0.000167,0.000023,0.000000,0.000000,0.108132,0.011590,0.031255,0.002345,0.001203,0.000170,0.000003,0.000001,0.437884,0.072753
2.2000,-0.022080,0.003815,0.041168,0.003729,0.002064,0.000357,0.000008,0.000002,0.507278,0.075911,0.688253,0.142871,0.010697,0.001005,0.000179,0.000034,0.000000,0.000000,0.120098,0.025046,0.038545,0.003934,0.001886,0.000362,0.000007,0.000002,0.744388,0.156719
2.2833,0.018017,0.001969,0.034792,0.002267,0.001397,0.000174,0.000003,0.000001,0.329201,0.030309,0.334641,0.065969,0.009242,0.000484,0.000124,0.000011,0.000000,0.000000,0.068581,0.004767,0.032730,0.002367,0.001273,0.000173,0.000003,0.000001,0.362519,0.073310
2.3667,0.048624,0.001723,0.031732,0.002151,0.001172,0.000156,0.000002,0.000001,0.258707,0.020537,0.285558,0.055782,0.010988,0.000984,0.000190,0.000032,0.000000,0.000000,0.119990,0.022303,0.027861,0.002595,0.000982,0.000165,0.000002,0.000001,0.355864,0.064108
2.4500,0.073693,0.002318,0.028033,0.001642,0.000903,0.000097,0.000001,0.000000,0.301800,0.031636,0.195444,0.021860,0.009913,0.000925,0.000150,0.000026,0.000000,0.000000,0.086589,0.014559,0.025017,0.001762,0.000753,0.000095,0.000001,0.000000,0.212055,0.028289
2.5333,0.093209,0.002439,0.026826,0.001872,0.000853,0.000120,0.000001,0.000000,0.303677,0.027253,0.216304,0.045331,0.010354,0.001088,0.000166,0.000033,0.000000,0.000000,0.094553,0.020096,0.023499,0.001812,0.000688,0.000098,0.000001,0.000000,0.219120,0.031044
2.6167,0.116763,0.001669,0.023104,0.001167,0.000626,0.000060,0.000001,0.000000,0.189878,0.021699,0.144420,0.017819,0.008704,0.000663,0.000128,0.000018,0.000000,0.000000,0.081432,0.011545,0.020175,0.001152,0.000498,0.000052,0.000000,0.000000,0.142775,0.016893
2.7000,0.128617,0.001852,0.027053,0.001435,0.000829,0.000084,0.000001,0.000000,0.250179,0.025294,0.146768,0.018569,0.009808,0.000808,0.000149,0.000026,0.000000,0.000000,0.079441,0.016898,0.023965,0.001553,0.000680,0.000082,0.000001,0.000000,0.160401,0.019904
2.7833,0.152111,0.001846,0.021409,0.001316,0.000537,0.000062,0.000000,0.000000,0.210160,0.023526,0.115955,0.014457,0.009319,0.000657,0.000129,0.000016,0.000000,0.000000,0.062100,0.006445,0.018077,0.001364,0.000408,0.000057,0.000000,0.000000,0.119682,0.018024
2.8667,0.172994,0.002092,0.024301,0.001472,0.000696,0.000076,0.000001,0.000000,0.206058,0.018702,0.150767,0.017699,0.009402,0.000596,0.000131,0.000015,0.000000,0.000000,0.061029,0.007142,0.021111,0.001556,0.000565,0.000072,0.000001,0.000000,0.170439,0.021402
2.9500,0.186393,0.002095,0.024169,0.001447,0.000712,0.000084,0.000001,0.000000,0.151780,0.014830,0.178180,0.029017,0.008746,0.000850,0.000132,0.000025,0.000000,0.000000,0.077625,0.014576,0.021203,0.001525,0.000580,0.000077,0.000001,0.000000,0.181196,0.026167
3.0333,0.200041,0.001584,0.024126,0.001093,0.000677,0.000064,0.000001,0.000000,0.141183,0.015610,0.128704,0.018028,0.011308,0.000971,0.000198,0.000031,0.000000,0.000000,0.094585,0.013753,0.019784,0.001051,0.000479,0.000050,0.000000,0.000000,0.118890,0.015202
3.1167,0.210520,0.002571,0.021149,0.001052,0.000526,0.000049,0.000000,0.000000,0.197541,0.020818,0.103198,0.010680,0.009430,0.000459,0.000135,0.000011,0.000000,0.000000,0.060921,0.005893,0.017368,0.001201,0.000391,0.000047,0.000000,0.000000,0.116834,0.010083
3.2000,0.227787,0.002024,0.023972,0.001214,0.000658,0.000063,0.000001,0.000000,0.167790,0.013982,0.106957,0.014482,0.009390,0.000691,0.000139,0.000020,0.000000,0.000000,0.065576,0.010678,0.020633,0.001332,0.000519,0.000060,0.000000,0.000000,0.119166,0.015321
