T,E,E_err,M,M_err,M2,M2_err,M4,M4_err,Cv,Cv_err,chi,chi_err,Mz,Mz_err,Mz2,Mz2_err,Mz4,Mz4_err,chi_z,chi_z_err,Mxy,Mxy_err,Mxy2,Mxy2_err,Mxy4,Mxy4_err,chi_xy,chi_xy_err
1.0000,-1.796275,0.004444,0.385386,0.022314,0.158012,0.016900,0.030411,0.005579,13.391384,2.602591,310.950404,67.621596,0.002525,0.000155,0.000010,0.000001,0.000000,0.000000,0.120090,0.014149,0.385371,0.022315,0.158002,0.016901,0.030408,0.005579,310.993007,67.634352
1.0500,-1.792371,0.001693,0.721843,0.006868,0.521960,0.009786,0.274273,0.009977,2.755270,0.444441,28.154415,7.433353,0.002420,0.000165,0.000009,0.000001,0.000000,0.000000,0.107957,0.018821,0.721837,0.006868,0.521950,0.009785,0.274263,0.009977,28.153609,7.433475
1.1000,-1.725034,0.000639,0.743203,0.000281,0.552355,0.000418,0.305105,0.000462,1.401762,0.125148,0.129429,0.020577,0.002335,0.000179,0.000009,0.000001,0.000000,0.000000,0.100635,0.013986,0.743197,0.000281,0.552346,0.000418,0.305095,0.000462,0.129485,0.020579
1.1500,-1.648076,0.000828,0.730081,0.000600,0.533028,0.000877,0.284141,0.000934,1.527527,0.149433,0.286415,0.067113,0.002500,0.000150,0.000009,0.000001,0.000000,0.000000,0.085826,0.008952,0.730075,0.000600,0.533019,0.000876,0.284131,0.000933,0.286078,0.067032
1.2000,-1.568165,0.000820,0.710052,0.000611,0.504184,0.000867,0.254222,0.000875,1.351076,0.133009,0.275941,0.049275,0.003091,0.000184,0.000015,0.000001,0.000000,0.000000,0.138188,0.013489,0.710042,0.000611,0.504169,0.000867,0.254207,0.000875,0.276049,0.049259
1.2500,-1.487861,0.001014,0.684805,0.000494,0.468966,0.000677,0.219944,0.000636,1.759272,0.214031,0.210639,0.025724,0.002906,0.000183,0.000013,0.000002,0.000000,0.000000,0.117654,0.014564,0.684796,0.000494,0.468953,0.000677,0.219932,0.000635,0.210487,0.025703
1.3000,-1.400414,0.001011,0.667355,0.000608,0.445376,0.000812,0.198382,0.000724,1.549414,0.178963,0.317740,0.057887,0.003067,0.000272,0.000016,0.000004,0.000000,0.000000,0.163759,0.058108,0.667343,0.000608,0.445360,0.000812,0.198368,0.000724,0.317726,0.057921
1.3500,-1.307564,0.001237,0.640063,0.000509,0.409690,0.000652,0.167862,0.000534,1.649015,0.270140,0.228495,0.025425,0.002732,0.000187,0.000012,0.000002,0.000000,0.000000,0.118088,0.021878,0.640054,0.000509,0.409678,0.000652,0.167851,0.000535,0.228947,0.025540
1.4000,-1.206254,0.001445,0.609583,0.000767,0.371607,0.000935,0.138116,0.000696,1.739299,0.286342,0.383070,0.069163,0.003095,0.000183,0.000014,0.000001,0.000000,0.000000,0.112550,0.011206,0.609571,0.000767,0.371593,0.000936,0.138106,0.000696,0.383150,0.069148
1.4500,-1.109910,0.001700,0.578458,0.000996,0.334639,0.001156,0.112018,0.000779,1.778120,0.398462,0.585042,0.144485,0.002989,0.000206,0.000014,0.000002,0.000000,0.000000,0.115102,0.011794,0.578446,0.000996,0.334625,0.001156,0.112009,0.000779,0.585711,0.144419
1.5000,-1.000225,0.001707,0.543497,0.000735,0.295407,0.000802,0.087287,0.000477,1.916911,0.311960,0.406329,0.116615,0.003432,0.000315,0.000018,0.000003,0.000000,0.000000,0.145245,0.023478,0.543480,0.000734,0.295389,0.000800,0.087277,0.000476,0.405510,0.116233
1.5500,-0.878475,0.001732,0.494603,0.001124,0.244667,0.001107,0.059895,0.000538,1.784107,0.290394,0.726802,0.186971,0.003180,0.000232,0.000016,0.000002,0.000000,0.000000,0.125909,0.018713,0.494587,0.001125,0.244650,0.001108,0.059887,0.000538,0.728414,0.187891
1.6000,-0.750144,0.002229,0.436453,0.002589,0.190631,0.002259,0.036446,0.000862,2.048438,0.448919,2.852498,0.732792,0.003583,0.000325,0.000021,0.000004,0.000000,0.000000,0.160159,0.027955,0.436430,0.002588,0.190610,0.002258,0.036438,0.000862,2.850821,0.732675
1.6500,-0.600540,0.002194,0.348562,0.002093,0.121592,0.001461,0.014832,0.000357,1.997260,0.244843,1.914687,0.360997,0.003221,0.000324,0.000017,0.000003,0.000000,0.000000,0.123827,0.029413,0.348538,0.002092,0.121575,0.001461,0.014827,0.000357,1.913229,0.360959
1.7000,-0.439435,0.003253,0.217883,0.002587,0.047611,0.001151,0.002294,0.000115,2.862620,0.528596,2.655801,0.812909,0.003112,0.000241,0.000015,0.000002,0.000000,0.000000,0.103979,0.013855,0.217849,0.002587,0.047596,0.001152,0.002293,0.000115,2.657550,0.813527
1.7500,-0.326390,0.001840,0.095883,0.003937,0.009507,0.000740,0.000102,0.000014,1.308966,0.259782,5.872554,1.290507,0.003729,0.000302,0.000021,0.000003,0.000000,0.000000,0.131809,0.020594,0.095774,0.003936,0.009486,0.000739,0.000101,0.000014,5.871769,1.291517
1.8000,-0.264956,0.001634,0.027580,0.002123,0.000857,0.000106,0.000001,0.000000,0.928223,0.158572,1.761046,0.403102,0.003426,0.000213,0.000018,0.000002,0.000000,0.000000,0.122779,0.014884,0.027184,0.002164,0.000839,0.000106,0.000001,0.000000,1.819259,0.429656
1.8500,-0.218431,0.001359,0.027102,0.001674,0.000802,0.000092,0.000001,0.000000,0.836043,0.093133,1.196022,0.196165,0.003733,0.000338,0.000021,0.000003,0.000000,0.000000,0.130531,0.021366,0.026621,0.001740,0.000781,0.000094,0.000001,0.000000,1.276722,0.210274
1.9000,-0.177853,0.001222,0.014745,0.001009,0.000247,0.000028,0.000000,0.000000,0.676662,0.123351,0.502784,0.088409,0.003651,0.000311,0.000022,0.000003,0.000000,0.000000,0.144309,0.019688,0.013934,0.001038,0.000225,0.000027,0.000000,0.000000,0.530026,0.090612
1.9500,-0.146727,0.000890,0.012145,0.000936,0.000174,0.000026,0.000000,0.000000,0.483141,0.069150,0.439374,0.108177,0.003419,0.000269,0.000018,0.000003,0.000000,0.000000,0.105871,0.015626,0.011292,0.000972,0.000156,0.000025,0.000000,0.000000,0.472762,0.116511
2.0000,-0.112567,0.000723,0.012913,0.000821,0.000190,0.000022,0.000000,0.000000,0.463060,0.055283,0.376199,0.055459,0.003570,0.000305,0.000020,0.000003,0.000000,0.000000,0.113719,0.016471,0.012114,0.000832,0.000170,0.000021,0.000000,0.000000,0.381136,0.059398
2.0500,-0.087633,0.001275,0.011315,0.000869,0.000153,0.000021,0.000000,0.000000,0.639093,0.113861,0.400716,0.057781,0.003446,0.000288,0.000018,0.000002,0.000000,0.000000,0.097157,0.009747,0.010396,0.000930,0.000135,0.000020,0.000000,0.000000,0.432722,0.062279
2.1000,-0.060766,0.001374,0.010441,0.000741,0.000128,0.000018,0.000000,0.000000,0.678319,0.085750,0.300406,0.053742,0.004142,0.000411,0.000027,0.000005,0.000000,0.000000,0.153630,0.030819,0.009031,0.000725,0.000101,0.000015,0.000000,0.000000,0.307477,0.047446
