T,E,E_err,M,M_err,M2,M2_err,M4,M4_err,Cv,Cv_err,chi,chi_err,Mz,Mz_err,Mz2,Mz2_err,Mz4,Mz4_err,chi_z,chi_z_err,Mxy,Mxy_err,Mxy2,Mxy2_err,Mxy4,Mxy4_err,chi_xy,chi_xy_err
2.5000,-1.283024,0.000705,0.008401,0.000417,0.000082,0.000007,0.000000,0.000000,0.329342,0.032725,0.144538,0.009686,0.004291,0.000497,0.000030,0.000006,0.000000,0.000000,0.145731,0.025249,0.006473,0.000337,0.000052,0.000005,0.000000,0.000000,0.133309,0.011896
2.6042,-1.251130,0.000871,0.010705,0.000821,0.000134,0.000020,0.000000,0.000000,0.301353,0.038686,0.248527,0.052374,0.007810,0.000994,0.000086,0.000019,0.000000,0.000000,0.318520,0.072969,0.006189,0.000409,0.000048,0.000006,0.000000,0.000000,0.122445,0.022265
2.7083,-1.222351,0.000783,0.008603,0.000588,0.000089,0.000013,0.000000,0.000000,0.229609,0.033573,0.179272,0.041862,0.005260,0.000620,0.000044,0.000011,0.000000,0.000000,0.192755,0.061000,0.006058,0.000319,0.000045,0.000005,0.000000,0.000000,0.103198,0.016579
2.8125,-1.198087,0.000781,0.008156,0.000515,0.000080,0.000010,0.000000,0.000000,0.239640,0.019996,0.158333,0.031719,0.005159,0.000628,0.000042,0.000010,0.000000,0.000000,0.179725,0.052687,0.005445,0.000337,0.000038,0.000004,0.000000,0.000000,0.098094,0.013197
2.9167,-1.175819,0.000657,0.008534,0.000545,0.000085,0.000012,0.000000,0.000000,0.189508,0.015819,0.133234,0.038684,0.004771,0.000596,0.000035,0.000008,0.000000,0.000000,0.136345,0.031400,0.006343,0.000434,0.000050,0.000007,0.000000,0.000000,0.107382,0.019073
3.0208,-1.151969,0.000552,0.008321,0.000503,0.000082,0.000010,0.000000,0.000000,0.171747,0.018564,0.143096,0.029941,0.005221,0.000611,0.000042,0.000009,0.000000,0.000000,0.156364,0.034162,0.005595,0.000241,0.000041,0.000003,0.000000,0.000000,0.102561,0.009984
3.1250,-1.134385,0.000626,0.008049,0.000466,0.000076,0.000008,0.000000,0.000000,0.159814,0.017067,0.122127,0.015192,0.004421,0.000433,0.000030,0.000005,0.000000,0.000000,0.112502,0.017516,0.006024,0.000459,0.000046,0.000006,0.000000,0.000000,0.103561,0.015405
3.2292,-1.116300,0.000678,0.006988,0.000335,0.000057,0.000005,0.000000,0.000000,0.166472,0.016378,0.084542,0.010786,0.003842,0.000320,0.000023,0.000004,0.000000,0.000000,0.085258,0.018347,0.005146,0.000358,0.000034,0.000004,0.000000,0.000000,0.076421,0.009609
3.3333,-1.100866,0.000701,0.008110,0.000510,0.000078,0.000009,0.000000,0.000000,0.140536,0.014868,0.121524,0.014789,0.005103,0.000536,0.000039,0.000007,0.000000,0.000000,0.126487,0.018144,0.005422,0.000402,0.000039,0.000006,0.000000,0.000000,0.096626,0.014252
3.4375,-1.085865,0.000929,0.007340,0.000397,0.000063,0.000006,0.000000,0.000000,0.174442,0.015094,0.088868,0.010790,0.003808,0.000391,0.000023,0.000005,0.000000,0.000000,0.082798,0.017557,0.005618,0.000272,0.000040,0.000003,0.000000,0.000000,0.080591,0.008499
3.5417,-1.072634,0.000666,0.008028,0.000536,0.000078,0.000011,0.000000,0.000000,0.128789,0.010751,0.124591,0.030307,0.004713,0.000608,0.000037,0.000009,0.000000,0.000000,0.136686,0.037584,0.005690,0.000333,0.000041,0.000005,0.000000,0.000000,0.079128,0.014097
3.6458,-1.059592,0.000663,0.007144,0.000384,0.000062,0.000006,0.000000,0.000000,0.120413,0.012170,0.095903,0.011299,0.003516,0.000383,0.000022,0.000005,0.000000,0.000000,0.085140,0.020402,0.005624,0.000320,0.000040,0.000004,0.000000,0.000000,0.074043,0.008422
3.7500,-1.046540,0.000501,0.006715,0.000398,0.000054,0.000006,0.000000,0.000000,0.100046,0.008879,0.076570,0.009877,0.003846,0.000495,0.000025,0.000006,0.000000,0.000000,0.085338,0.021435,0.004816,0.000265,0.000029,0.000003,0.000000,0.000000,0.053399,0.007738
3.8542,-1.037835,0.000620,0.008001,0.000428,0.000075,0.000008,0.000000,0.000000,0.106613,0.009498,0.091204,0.011609,0.005160,0.000506,0.000039,0.000007,0.000000,0.000000,0.107731,0.014318,0.005376,0.000205,0.000035,0.000003,0.000000,0.000000,0.055632,0.004908
3.9583,-1.026245,0.000444,0.007103,0.000375,0.000060,0.000007,0.000000,0.000000,0.103722,0.012067,0.082349,0.013999,0.004363,0.000400,0.000029,0.000005,0.000000,0.000000,0.086253,0.015739,0.004897,0.000270,0.000031,0.000003,0.000000,0.000000,0.057597,0.006366
4.0625,-1.016066,0.000718,0.006930,0.000245,0.000055,0.000003,0.000000,0.000000,0.110385,0.010451,0.056318,0.003902,0.003757,0.000312,0.000021,0.000003,0.000000,0.000000,0.059162,0.007636,0.005238,0.000256,0.000034,0.000003,0.000000,0.000000,0.049369,0.004204
