T,E,E_err,M,M_err,M2,M2_err,M4,M4_err,Cv,Cv_err,chi,chi_err
1.350000,-1.233572,0.000142,0.396724,0.000090,0.157398,0.000071,0.024780,0.000022,8.358894,0.851405,13.229614,0.506297
1.360526,-1.209468,0.000137,0.380558,0.000101,0.144833,0.000077,0.020982,0.000022,7.589770,0.729272,13.666928,0.431734
1.371053,-1.184778,0.000140,0.362987,0.000098,0.131770,0.000071,0.017369,0.000019,7.876883,0.830247,15.990393,0.714338
1.381579,-1.159693,0.000124,0.343804,0.000105,0.118213,0.000072,0.013980,0.000017,6.740153,0.985750,17.239038,1.004426
1.392105,-1.133683,0.000136,0.322185,0.000122,0.103817,0.000079,0.010784,0.000016,7.374426,0.804565,20.756370,0.963700
1.402632,-1.106875,0.000132,0.297585,0.000136,0.088574,0.000081,0.007851,0.000014,7.365075,0.651300,25.244315,0.892941
1.413158,-1.079100,0.000095,0.268264,0.000126,0.071985,0.000067,0.005187,0.000010,4.677143,0.268065,27.951282,0.482694
1.423684,-1.049755,0.000094,0.231513,0.000170,0.053626,0.000079,0.002882,0.000008,4.751618,0.286122,40.425154,0.924242
1.434211,-1.018907,0.000095,0.179375,0.000276,0.032233,0.000099,0.001046,0.000006,4.635974,0.290642,84.488203,2.915872
1.444737,-0.984878,0.000103,0.061438,0.001192,0.004173,0.000140,0.000023,0.000001,3.443895,0.131932,578.122700,25.159347
1.455263,-0.960474,0.000039,0.017383,0.000172,0.000357,0.000007,0.000000,0.000000,2.088160,0.076476,78.598775,1.696836
1.465789,-0.940864,0.000053,0.011348,0.000065,0.000151,0.000002,0.000000,0.000000,1.835444,0.059036,32.126926,0.455318
1.476316,-0.923567,0.000031,0.008684,0.000046,0.000089,0.000001,0.000000,0.000000,1.771192,0.056948,19.088390,0.303173
1.486842,-0.907661,0.000047,0.007235,0.000034,0.000062,0.000001,0.000000,0.000000,1.473900,0.047507,13.158149,0.218747
1.497368,-0.892892,0.000044,0.006242,0.000034,0.000046,0.000000,0.000000,0.000000,1.328262,0.040634,9.839524,0.128233
1.507895,-0.879029,0.000031,0.005556,0.000020,0.000036,0.000000,0.000000,0.000000,1.313792,0.033419,7.814832,0.110442
1.518421,-0.865971,0.000026,0.005022,0.000019,0.000030,0.000000,0.000000,0.000000,1.211463,0.039845,6.164126,0.081375
1.528947,-0.853682,0.000037,0.004654,0.000019,0.000025,0.000000,0.000000,0.000000,1.190971,0.029152,5.182953,0.056150
1.539474,-0.841981,0.000024,0.004256,0.000013,0.000021,0.000000,0.000000,0.000000,1.055271,0.024523,4.430901,0.054885
1.550000,-0.830827,0.000026,0.004009,0.000018,0.000019,0.000000,0.000000,0.000000,1.039800,0.019227,3.834898,0.060818
