temp_idx,E,M
0,-1.11388910,0.30031506
1,-1.07773509,0.26412367
2,-1.04030842,0.21351612
3,-1.00042734,0.12933512
4,-0.96542938,0.01795088
5,-0.94058943,0.00623766
6,-0.91864614,0.00534977
7,-0.89867095,0.00289799
8,-0.88048085,0.00191332
9,-0.86365744,0.00255690
10,-0.84935854,0.00161731
11,-0.83347973,0.00107844
12,-0.82194720,0.00282125
13,-0.80778807,0.00174458
14,-0.79531066,0.00224267
15,-0.78279491,0.00136551
0,-1.11344628,0.29951740
1,-1.07810285,0.26531723
2,-1.04009513,0.21076747
3,-1.00033559,0.12991669
4,-0.96605349,0.01151736
5,-0.94010496,0.00743396
6,-0.91855831,0.00501783
7,-0.89924568,0.00294015
8,-0.88114915,0.00203299
9,-0.86409376,0.00315345
10,-0.84909752,0.00260963
11,-0.83364408,0.00070570
12,-0.82166467,0.00290746
13,-0.80735460,0.00193799
14,-0.79564551,0.00230881
15,-0.78298903,0.00215197
0,-1.11319486,0.30189408
1,-1.07789558,0.26670334
2,-1.03976707,0.20985024
3,-1.00005829,0.13424820
4,-0.96607734,0.01098380
5,-0.93951472,0.00815398
6,-0.91824630,0.00702123
7,-0.89897299,0.00344575
8,-0.88039028,0.00352719
9,-0.86332307,0.00148800
10,-0.84870364,0.00384530
11,-0.83403438,0.00182017
12,-0.82070886,0.00090379
13,-0.80745125,0.00194312
14,-0.79575203,0.00166248
15,-0.78346635,0.00294591
0,-1.11376191,0.30211779
1,-1.07785605,0.26392721
2,-1.03923479,0.20916829
3,-1.00024874,0.13453627
4,-0.96586491,0.01038300
5,-0.93953460,0.00551329
6,-0.91811253,0.00385914
7,-0.89924778,0.00288050
8,-0.88057840,0.00129516
9,-0.86354467,0.00360876
10,-0.84898976,0.00335839
11,-0.83473803,0.00194408
12,-0.82150769,0.00165168
13,-0.80774289,0.00149261
14,-0.79553593,0.00113279
15,-0.78351795,0.00203294
0,-1.11346929,0.30075929
1,-1.07743358,0.26437360
2,-1.03971175,0.20659646
3,-1.00028962,0.13407770
4,-0.96547272,0.01065933
5,-0.93988184,0.00278630
6,-0.91738237,0.00267208
7,-0.89872119,0.00419080
8,-0.88088151,0.00301009
9,-0.86394943,0.00267406
10,-0.84881719,0.00610827
11,-0.83472433,0.00262112
12,-0.82126244,0.00163311
13,-0.80776210,0.00249763
14,-0.79489628,0.00252719
15,-0.78316814,0.00304973
0,-1.11340850,0.30221719
1,-1.07759281,0.26454848
2,-1.03966783,0.21002115
3,-1.00083535,0.13032833
4,-0.96542325,0.00660763
5,-0.94060619,0.00270899
6,-0.91672092,0.00474150
7,-0.89907439,0.00209257
8,-0.88104823,0.00324186
9,-0.86433821,0.00255076
10,-0.84861966,0.00232449
