T,E,E_err,M,M_err,M2,M2_err,M4,M4_err,Cv,Cv_err,chi,chi_err
4.400000,-1.281627,0.000100,0.485666,0.000084,0.235946,0.000081,0.055741,0.000038,2.054386,0.026370,4.436538,0.059774
4.407097,-1.267155,0.000119,0.476335,0.000102,0.226977,0.000096,0.051593,0.000043,2.127135,0.030185,4.883989,0.093783
4.414194,-1.252044,0.000120,0.466198,0.000113,0.217429,0.000105,0.047352,0.000045,2.117504,0.023384,5.254928,0.079159
4.421290,-1.236482,0.000137,0.455448,0.000129,0.207531,0.000117,0.043150,0.000048,2.160820,0.032943,5.805513,0.099604
4.428387,-1.220753,0.000107,0.444085,0.000098,0.197322,0.000087,0.039023,0.000035,2.212804,0.026206,6.533291,0.087213
4.435484,-1.204593,0.000141,0.431824,0.000138,0.186598,0.000119,0.034912,0.000044,2.295847,0.027768,7.422514,0.099474
4.442581,-1.188242,0.000153,0.418949,0.000180,0.175660,0.000151,0.030956,0.000053,2.318173,0.024466,8.365688,0.139690
4.449677,-1.171662,0.000121,0.405226,0.000147,0.164370,0.000119,0.027123,0.000039,2.348202,0.025093,9.546417,0.141417
4.456774,-1.154419,0.000192,0.389979,0.000245,0.152279,0.000190,0.023307,0.000057,2.464654,0.034334,11.502734,0.251946
4.463871,-1.136550,0.000198,0.373011,0.000238,0.139369,0.000176,0.019551,0.000048,2.486669,0.042967,13.603975,0.327777
4.470968,-1.118814,0.000255,0.355205,0.000397,0.126458,0.000278,0.016135,0.000069,2.624394,0.035906,16.875675,0.381416
4.478065,-1.100216,0.000249,0.334649,0.000380,0.112352,0.000253,0.012782,0.000057,2.684835,0.038896,21.177876,0.439430
4.485161,-1.080026,0.000317,0.309606,0.000584,0.096369,0.000345,0.009478,0.000062,2.888003,0.060342,29.989397,1.292518
4.492258,-1.059708,0.000325,0.280334,0.000723,0.079333,0.000390,0.006517,0.000059,3.020635,0.058608,43.517017,1.623421
4.499355,-1.037399,0.000524,0.240818,0.001509,0.059531,0.000665,0.003845,0.000074,3.417605,0.090319,89.604414,5.601720
4.506452,-1.012393,0.000816,0.178097,0.003716,0.035233,0.001150,0.001591,0.000076,3.440201,0.097080,204.415751,13.279590
4.513548,-0.991496,0.000582,0.111169,0.003639,0.016070,0.000829,0.000460,0.000036,2.367611,0.086773,215.562348,6.763836
4.520645,-0.978602,0.000247,0.072559,0.001859,0.007607,0.000323,0.000134,0.000009,1.466007,0.036088,135.845800,4.487504
4.527742,-0.969713,0.000135,0.054113,0.000866,0.004402,0.000121,0.000050,0.000002,1.129670,0.017032,85.312074,1.965998
4.534839,-0.962348,0.000100,0.043451,0.000495,0.002917,0.000054,0.000024,0.000001,0.988603,0.013418,59.494330,1.045095
4.541935,-0.955773,0.000109,0.036973,0.000515,0.002135,0.000056,0.000013,0.000001,0.875377,0.008752,44.341998,1.203339
4.549032,-0.949824,0.000074,0.032457,0.000435,0.001648,0.000044,0.000008,0.000000,0.809231,0.008006,34.276193,1.035332
4.556129,-0.944224,0.000053,0.028997,0.000301,0.001314,0.000025,0.000005,0.000000,0.770385,0.008222,27.206667,0.620105
4.563226,-0.938791,0.000075,0.026562,0.000315,0.001108,0.000024,0.000004,0.000000,0.739798,0.007458,23.117435,0.447096
4.570323,-0.933841,0.000062,0.024286,0.000218,0.000930,0.000015,0.000003,0.000000,0.705938,0.007244,19.539143,0.357645
4.577419,-0.928950,0.000056,0.022689,0.000231,0.000808,0.000016,0.000002,0.000000,0.677781,0.006654,16.796381,0.402769
4.584516,-0.924191,0.000059,0.021641,0.000228,0.000731,0.000013,0.000002,0.000000,0.657622,0.005155,14.997810,0.242529
4.591613,-0.919701,0.000044,0.020321,0.000130,0.000648,0.000008,0.000001,0.000000,0.624301,0.006861,13.398181,0.230031
4.598710,-0.915330,0.000063,0.019115,0.000177,0.000574,0.000010,0.000001,0.000000,0.611530,0.005139,11.885630,0.190263
4.605806,-0.910990,0.000060,0.018237,0.000227,0.000519,0.000011,0.000001,0.000000,0.594791,0.004258,10.610431,0.208582
4.612903,-0.906827,0.000056,0.017345,0.000192,0.000474,0.000010,0.000001,0.000000,0.577096,0.005947,9.844208,0.231774
4.620000,-0.902723,0.000040,0.016634,0.000151,0.000436,0.000008,0.000001,0.000000,0.564066,0.006472,9.061040,0.187052
