T,E,E_err,M,M_err,M2,M2_err,M4,M4_err,Cv,Cv_err,chi,chi_err
2.100000,-1.264592,0.003305,0.491289,0.001645,0.247062,0.001551,0.065869,0.000752,1.950205,0.043233,1.388919,0.035303
2.110526,-1.243632,0.003417,0.480967,0.001965,0.237388,0.001765,0.061219,0.000802,1.872030,0.041714,1.469918,0.041571
2.121053,-1.222028,0.003089,0.469365,0.001776,0.226870,0.001600,0.056487,0.000716,1.883074,0.035972,1.585043,0.033281
2.131579,-1.201035,0.002718,0.458073,0.001669,0.216918,0.001375,0.052160,0.000546,1.935062,0.034522,1.702468,0.043681
2.142105,-1.181181,0.002213,0.445963,0.001341,0.206923,0.001116,0.048272,0.000446,1.981544,0.039465,1.921651,0.030207
2.152632,-1.160726,0.003129,0.434525,0.001950,0.197065,0.001536,0.044127,0.000585,1.959819,0.061076,1.962962,0.065570
2.163158,-1.143277,0.002888,0.423983,0.001913,0.188560,0.001606,0.040977,0.000648,1.951565,0.049160,2.082567,0.046845
2.173684,-1.122476,0.002397,0.411666,0.001536,0.178720,0.001173,0.037262,0.000438,1.921740,0.039930,2.179009,0.059150
2.184211,-1.100401,0.002116,0.397568,0.001307,0.168064,0.001054,0.033619,0.000408,1.900848,0.037338,2.344845,0.042423
2.194737,-1.083815,0.002665,0.386376,0.001950,0.160021,0.001399,0.031091,0.000463,1.910122,0.031124,2.504368,0.048307
2.205263,-1.063701,0.002424,0.374201,0.001809,0.150913,0.001288,0.028027,0.000415,1.846539,0.036770,2.527502,0.049689
2.215789,-1.044363,0.002720,0.359675,0.001975,0.140739,0.001331,0.024914,0.000396,1.774821,0.031490,2.627952,0.034256
2.226316,-1.026528,0.001613,0.347889,0.001426,0.132502,0.000879,0.022442,0.000253,1.706993,0.042744,2.639061,0.062881
2.236842,-1.007460,0.001894,0.334313,0.001490,0.123482,0.000973,0.019957,0.000280,1.669818,0.035331,2.681930,0.035378
2.247368,-0.991294,0.001622,0.323795,0.001257,0.116717,0.000795,0.018183,0.000231,1.611603,0.032536,2.705189,0.039060
2.257895,-0.973673,0.001433,0.310222,0.001304,0.107980,0.000824,0.015890,0.000231,1.499256,0.031685,2.662541,0.042650
2.268421,-0.955995,0.001889,0.297598,0.001438,0.100307,0.000821,0.014037,0.000204,1.442267,0.031230,2.650390,0.040235
2.278947,-0.940003,0.002250,0.286909,0.002224,0.093899,0.001231,0.012528,0.000278,1.363982,0.031193,2.602179,0.028928
2.289474,-0.926465,0.002142,0.277724,0.001831,0.088397,0.001046,0.011246,0.000238,1.304367,0.032775,2.519565,0.040340
2.300000,-0.913649,0.002159,0.266989,0.001934,0.082325,0.001083,0.009970,0.000230,1.211967,0.026902,2.457894,0.036626
