t,rho
0,0.34694933
10,0.15227733
20,0.11256000
30,0.09402667
40,0.08379200
50,0.07770133
60,0.07102400
70,0.06696533
80,0.06560000
90,0.06397867
100,0.06216000
110,0.05905067
120,0.05937600
130,0.05792000
140,0.05735467
150,0.05728000
160,0.05595200
170,0.05509867
180,0.05448000
190,0.05498667
200,0.05458133
210,0.05379200
220,0.05260267
230,0.05263467
240,0.05214933
250,0.05156267
260,0.05325333
270,0.05202667
280,0.05145600
290,0.05164800
300,0.05131200
310,0.05056000
320,0.05022400
330,0.05011733
340,0.05024533
350,0.04943467
360,0.05037867
370,0.05018667
380,0.05003733
390,0.04911467
400,0.04934400
410,0.04955200
420,0.04916267
430,0.04963733
440,0.04947733
450,0.05012267
460,0.04945600
470,0.04895467
480,0.04977067
490,0.04876267
500,0.04840000
510,0.04757867
520,0.04877333
530,0.04922133
540,0.04822400
550,0.04756800
560,0.04860800
570,0.04781333
580,0.04795200
590,0.04795200
600,0.04840533
610,0.04701867
620,0.04757867
630,0.04653333
640,0.04635733
650,0.04709333
660,0.04780267
670,0.04685333
680,0.04612800
690,0.04595200
700,0.04508800
710,0.04384533
720,0.04423467
730,0.04458667
740,0.04378667
750,0.04336000
760,0.04289600
770,0.04216000
780,0.04117333
790,0.04232000
800,0.04041600
810,0.04158400
820,0.04062400
830,0.04041600
840,0.03921067
850,0.03985067
860,0.03865600
870,0.03913067
880,0.03859733
890,0.03849067
900,0.03744000
910,0.03659733
920,0.03625067
930,0.03363733
940,0.03392533
950,0.03296533
960,0.03378667
970,0.03201067
980,0.03196267
990,0.02970667
1000,0.02972800
1010,0.02870400
1020,0.02758933
1030,0.02672533
1040,0.02683733
1050,0.02630400
1060,0.02534933
1070,0.02396800
1080,0.02327467
1090,0.02257600
1100,0.02163200
1110,0.02177067
1120,0.02182400
1130,0.01993067
1140,0.02047467
1150,0.01916800
1160,0.01907733
1170,0.02073600
1180,0.01945600
1190,0.01913067
1200,0.01963200
1210,0.01965867
1220,0.01956800
1230,0.01896000
1240,0.01818133
1250,0.01963200
1260,0.02038400
1270,0.01933867
1280,0.01954667
1290,0.01801067
1300,0.01929067
1310,0.02040533
1320,0.01979733
1330,0.01914667
1340,0.01979200
1350,0.01925867
1360,0.02008000
1370,0.02030933
1380,0.01915733
1390,0.01976533
1400,0.01832533
1410,0.01892800
1420,0.01909333
1430,0.01937067
1440,0.01977600
1450,0.01933333
1460,0.02058133
1470,0.01913600
1480,0.01783467
1490,0.01989333
1500,0.02070400
1510,0.01858133
1520,0.02015467
1530,0.01825067
1540,0.02000000
1550,0.01872533
1560,0.01973867
1570,0.01899200
1580,0.02028800
1590,0.01915733
1600,0.02029867
1610,0.02011733
1620,0.01885867
1630,0.02006933
1640,0.01997867
1650,0.02023467
1660,0.01935467
1670,0.01948267
1680,0.01969067
1690,0.01902400
1700,0.01920533
1710,0.02000000
1720,0.02000533
1730,0.01914667
1740,0.01922667
1750,0.01960000
1760,0.01933867
1770,0.01960533
1780,0.02063467
1790,0.01996267
1800,0.02012267
1810,0.01896533
1820,0.01974933
1830,0.01920000
1840,0.02041067
1850,0.01948800
1860,0.02058133
1870,0.01865600
1880,0.01941867
1890,0.01937600
1900,0.01920000
1910,0.02004267
1920,0.01949867
1930,0.01903467
1940,0.01913600
1950,0.01883733
1960,0.01964267
1970,0.01935467
1980,0.01913067
1990,0.01913600
2000,0.01996800
2010,0.01894400
2020,0.02002667
2030,0.01968000
2040,0.01949333
2050,0.01969600
2060,0.01960533
2070,0.01873600
2080,0.02000000
2090,0.01973867
2100,0.01871467
2110,0.01840000
2120,0.02008000
2130,0.01938133
2140,0.02020267
2150,0.01822400
2160,0.02002667
