T,E,M,M2,M4,Cv,chi
3.8000,-2.132216,0.814758,0.663911,0.440992,1.015247,0.293874
3.8233,-2.108875,0.808532,0.653808,0.427688,1.036175,0.307867
3.8467,-2.083886,0.801744,0.642883,0.413530,1.044173,0.322752
3.8700,-2.058217,0.794656,0.631579,0.399147,1.114914,0.361304
3.8933,-2.033160,0.787647,0.620492,0.385267,1.108522,0.368319
3.9167,-2.006789,0.780100,0.608667,0.370745,1.101778,0.391717
3.9400,-1.979372,0.772242,0.596481,0.356082,1.181940,0.430989
3.9633,-1.953135,0.764458,0.584526,0.341974,1.184835,0.453922
3.9867,-1.924514,0.755870,0.571483,0.326920,1.233786,0.498235
4.0100,-1.894617,0.746686,0.557693,0.311363,1.267033,0.529408
4.0333,-1.867380,0.738085,0.544938,0.297325,1.304073,0.579087
4.0567,-1.835358,0.727856,0.529952,0.281222,1.269919,0.602165
4.0800,-1.804883,0.717870,0.515536,0.266184,1.344822,0.672241
4.1033,-1.774614,0.707706,0.501069,0.251513,1.398912,0.746085
4.1267,-1.742099,0.696574,0.485449,0.236112,1.390289,0.782191
4.1500,-1.708748,0.684645,0.469003,0.220459,1.474704,0.882042
4.1733,-1.674522,0.672127,0.452046,0.204869,1.501346,0.964948
4.1967,-1.639429,0.658860,0.434422,0.189284,1.524922,1.071467
4.2200,-1.604355,0.645129,0.416556,0.174122,1.574585,1.192041
4.2433,-1.567285,0.630228,0.397608,0.158756,1.632617,1.370842
4.2667,-1.530372,0.614491,0.378068,0.143637,1.653887,1.516252
4.2900,-1.487561,0.595353,0.355001,0.126806,1.733763,1.792778
4.3133,-1.446962,0.576548,0.333047,0.111759,1.790204,2.050953
4.3367,-1.406024,0.556203,0.310146,0.097146,1.855505,2.500028
4.3600,-1.362529,0.533217,0.285238,0.082379,1.866580,2.908415
4.3833,-1.317734,0.507672,0.258938,0.068260,2.083407,3.807331
4.4067,-1.267341,0.476635,0.228734,0.053678,2.111112,4.873288
4.4300,-1.218960,0.442522,0.198084,0.040870,2.364751,7.045502
4.4533,-1.163268,0.397991,0.162026,0.028249,2.564134,11.265325
4.4767,-1.103933,0.335698,0.119626,0.016699,2.514442,21.408776
4.5000,-1.042622,0.256554,0.076414,0.008179,2.510641,32.545884
4.5233,-0.992401,0.180168,0.042176,0.003157,1.590362,29.690657
4.5467,-0.959310,0.131442,0.024470,0.001276,1.117523,21.869045
4.5700,-0.941787,0.104559,0.015979,0.000623,0.807781,15.265806
4.5933,-0.921215,0.087065,0.011562,0.000362,0.744502,11.982688
4.6167,-0.903884,0.072461,0.008047,0.000180,0.648404,8.373122
4.6400,-0.890905,0.065566,0.006711,0.000126,0.564957,7.186142
4.6633,-0.887140,0.060225,0.005732,0.000096,0.468408,6.241488
4.6867,-0.869419,0.054378,0.004621,0.000061,0.380546,4.907437
4.7100,-0.857789,0.050631,0.003978,0.000046,0.376472,4.151623
4.7333,-0.848074,0.045796,0.003292,0.000033,0.411489,3.489981
4.7567,-0.841000,0.044340,0.003108,0.000029,0.388447,3.318116
4.7800,-0.829628,0.042687,0.002843,0.000023,0.374425,2.951265
4.8033,-0.819107,0.041661,0.002722,0.000022,0.351016,2.839023
4.8267,-0.811083,0.036543,0.002094,0.000013,0.266458,2.173727
4.8500,-0.808015,0.032876,0.001724,0.000009,0.268035,1.831959
4.8733,-0.791734,0.032367,0.001714,0.000010,0.403592,1.889029
4.8967,-0.787210,0.033464,0.001725,0.000009,0.322611,1.707568
4.9200,-0.776868,0.033941,0.001809,0.000010,0.334711,1.847392
4.9433,-0.778664,0.035101,0.001915,0.000011,0.282393,1.910737
4.9667,-0.767282,0.032443,0.001624,0.000008,0.322719,1.591809
4.9900,-0.761437,0.029982,0.001429,0.000006,0.334993,1.467644
5.0133,-0.753045,0.031549,0.001526,0.000007,0.308376,1.462560
5.0367,-0.745197,0.030619,0.001434,0.000006,0.218208,1.362115
5.0600,-0.740888,0.029100,0.001355,0.000006,0.339722,1.387437
5.0833,-0.738077,0.027228,0.001189,0.000005,0.301876,1.217111
5.1067,-0.728874,0.026367,0.001103,0.000004,0.205266,1.103833
5.1300,-0.724927,0.026736,0.001102,0.000003,0.226517,1.044270
5.1533,-0.719379,0.024200,0.000920,0.000003,0.242304,0.898260
5.1767,-0.711763,0.024582,0.000957,0.000003,0.240755,0.942412
5.2000,-0.700454,0.023617,0.000902,0.000003,0.265455,0.914759
