T,E,M,M2,M4,Cv,chi
3.5000,-3.808723,0.975142,0.950959,0.904542,0.265649,0.016907
3.6375,-3.763541,0.969093,0.939218,0.882420,0.322191,0.021774
3.7750,-3.718449,0.962879,0.927232,0.860114,0.359565,0.026052
3.9125,-3.665711,0.955645,0.913373,0.834676,0.402297,0.030550
4.0500,-3.607885,0.947370,0.897648,0.806267,0.413425,0.034946
4.1875,-3.543602,0.938368,0.880706,0.776241,0.477017,0.041756
4.3250,-3.477928,0.928720,0.862758,0.745169,0.587672,0.056369
4.4625,-3.392490,0.915976,0.839263,0.705204,0.565420,0.057851
4.6000,-3.303498,0.902424,0.814682,0.664722,0.610714,0.069667
4.7375,-3.218018,0.888779,0.790314,0.625807,0.675384,0.083395
4.8750,-3.105414,0.870722,0.758666,0.577099,0.759020,0.106972
5.0125,-3.004137,0.854010,0.729952,0.534617,0.847795,0.126556
5.1500,-2.871938,0.830578,0.690672,0.479237,0.915076,0.161382
5.2875,-2.753406,0.808549,0.654840,0.431623,1.072521,0.210831
5.4250,-2.602096,0.779490,0.608983,0.374112,1.115490,0.260020
5.5625,-2.448715,0.748314,0.561928,0.319997,1.331025,0.359614
5.7000,-2.283439,0.712063,0.509528,0.264427,1.336533,0.448049
5.8375,-2.106461,0.668311,0.450623,0.209574,1.524955,0.698908
5.9750,-1.930979,0.625896,0.395433,0.161878,1.305959,0.632062
6.1125,-1.600801,0.515436,0.274698,0.083847,1.563723,1.511785
6.2500,-1.370105,0.412650,0.188144,0.045622,1.793509,2.926833
6.3875,-1.170480,0.296445,0.112200,0.021387,1.471978,3.898832
6.5250,-1.042760,0.235235,0.072601,0.009672,0.760105,2.709523
6.6625,-0.936154,0.173953,0.045282,0.005006,0.607613,2.308880
6.8000,-0.876918,0.140603,0.029441,0.002195,0.390719,1.456469
6.9375,-0.827750,0.118665,0.022033,0.001354,0.318302,1.173709
7.0750,-0.793088,0.107617,0.017691,0.000829,0.241036,0.884228
7.2125,-0.762275,0.100877,0.015853,0.000716,0.246712,0.805903
7.3500,-0.733803,0.087950,0.011864,0.000378,0.183685,0.575258
7.4875,-0.701146,0.077863,0.009764,0.000300,0.173814,0.506214
7.6250,-0.680707,0.073681,0.008411,0.000205,0.150475,0.400486
7.7625,-0.665078,0.074624,0.008546,0.000202,0.138737,0.392802
7.9000,-0.639723,0.067144,0.006983,0.000137,0.138647,0.320767
8.0375,-0.619693,0.065117,0.006739,0.000140,0.122129,0.318375
8.1750,-0.603947,0.061189,0.005991,0.000114,0.116204,0.281421
8.3125,-0.595242,0.060519,0.005857,0.000104,0.118530,0.270302
8.4500,-0.578910,0.063594,0.006225,0.000110,0.108308,0.264250
8.5875,-0.567562,0.055361,0.004858,0.000072,0.094857,0.213764
8.7250,-0.553240,0.056243,0.004891,0.000071,0.090254,0.202732
8.8625,-0.540176,0.054588,0.004692,0.000064,0.087981,0.197824
9.0000,-0.529941,0.053459,0.004553,0.000062,0.083525,0.192835
