T,E,M,M2,M4,Cv,chi
5.0000,-5.777164,0.981011,0.962404,0.926301,0.223466,0.008512
5.2250,-5.722990,0.976303,0.953195,0.908686,0.267044,0.010751
5.4500,-5.663957,0.971104,0.943079,0.889527,0.303817,0.012998
5.6750,-5.588180,0.964333,0.929982,0.865026,0.336943,0.015469
5.9000,-5.505291,0.956819,0.915560,0.838460,0.404102,0.019834
6.1250,-5.407910,0.947878,0.898540,0.807615,0.422703,0.022477
6.3500,-5.307317,0.938583,0.881022,0.776493,0.476374,0.026936
6.5750,-5.200105,0.928413,0.862052,0.743479,0.517284,0.031373
6.8000,-5.069862,0.915806,0.838836,0.704096,0.612997,0.040564
7.0250,-4.918370,0.900570,0.811201,0.658609,0.689636,0.050650
7.2500,-4.774410,0.886110,0.785389,0.617455,0.696549,0.055882
7.4750,-4.602721,0.867824,0.753372,0.568333,0.789302,0.069631
7.7000,-4.429824,0.849051,0.721186,0.520967,0.810268,0.079313
7.9250,-4.210502,0.824157,0.679575,0.462739,0.784676,0.087784
8.1500,-3.987973,0.797262,0.636170,0.406084,1.058515,0.136662
8.3750,-3.778006,0.770914,0.594956,0.355491,1.044119,0.158410
8.6000,-3.538412,0.739074,0.547188,0.301476,1.289856,0.228043
8.8250,-3.262029,0.699582,0.490579,0.242920,1.276247,0.270041
9.0500,-2.933987,0.646005,0.419108,0.178576,1.421853,0.404010
9.2750,-2.572373,0.577946,0.337069,0.117482,1.569286,0.673052
9.5000,-2.182532,0.487253,0.243575,0.064611,1.736942,1.327742
9.7250,-1.703345,0.309398,0.116635,0.020683,1.896836,4.403022
9.9500,-1.433859,0.201401,0.056163,0.006441,1.040538,3.211034
10.1750,-1.262349,0.126387,0.023559,0.001326,0.442973,1.526735
10.4000,-1.156948,0.090749,0.012840,0.000464,0.295431,0.906830
10.6250,-1.089288,0.086104,0.010999,0.000301,0.258964,0.691041
10.8500,-1.051065,0.083109,0.010447,0.000298,0.235141,0.668086
11.0750,-1.001024,0.063230,0.006308,0.000112,0.203399,0.427229
11.3000,-0.951982,0.064132,0.006347,0.000107,0.184091,0.404949
11.5250,-0.907708,0.057016,0.005028,0.000075,0.163403,0.315750
11.7500,-0.872682,0.052885,0.004283,0.000053,0.150413,0.259008
11.9750,-0.841692,0.049961,0.003975,0.000048,0.141000,0.252961
12.2000,-0.811180,0.045271,0.003308,0.000035,0.121821,0.211229
12.4250,-0.783618,0.045805,0.003294,0.000032,0.113780,0.197099
12.6500,-0.761260,0.046569,0.003374,0.000033,0.106312,0.195107
12.8750,-0.737007,0.045749,0.003201,0.000029,0.100216,0.176267
13.1000,-0.718610,0.040381,0.002579,0.000020,0.097295,0.148242
13.3250,-0.691525,0.039044,0.002406,0.000017,0.087156,0.135451
13.5500,-0.677874,0.040113,0.002490,0.000018,0.084808,0.133112
13.7750,-0.657470,0.039060,0.002415,0.000018,0.076881,0.132277
14.0000,-0.639580,0.036720,0.002102,0.000013,0.068756,0.110303
