tau_q,rho,rho_err,n_trials
100,0.04344302,0.00054005,30
133,0.03797582,0.00069154,30
178,0.03203093,0.00071914,30
237,0.02863076,0.00071181,30
316,0.02594969,0.00082790,30
422,0.02017813,0.00132743,30
562,0.01643627,0.00159623,30
750,0.01014951,0.00146408,30
1000,0.00903182,0.00140801,30
1334,0.00709724,0.00150620,30
1778,0.00389262,0.00115550,30
2371,0.00280178,0.00108176,30
3162,0.00045991,0.00044612,30
4217,0.00090329,0.00061888,30
5623,0.00046133,0.00044516,30
7499,0.00001173,0.00000242,30
10000,0.00090258,0.00061879,30
13335,0.00001013,0.00000223,30
17783,0.00224231,0.00092602,30
23714,0.00045547,0.00044444,30
31623,0.00001440,0.00000208,30
42170,0.00001227,0.00000213,30
56234,0.00001120,0.00000267,30
74989,0.00001653,0.00000282,30
100000,0.00001280,0.00000259,30
