n,p_removed,T,binder,binder_err,n_realizations
24,0.0,3.8,0.6665019545377784,3.209657082533529e-06,4
24,0.0,3.828,0.666493220966059,3.483038964786885e-06,4
24,0.0,3.856,0.6664647504049633,5.025808740520783e-06,4
24,0.0,3.884,0.6664435622192425,5.006018489761985e-06,4
24,0.0,3.912,0.6664244322745512,4.7921981156006155e-06,4
24,0.0,3.94,0.6663982660272123,6.069296134414979e-06,4
24,0.0,3.968,0.6663685719642224,6.799663983463919e-06,4
24,0.0,3.996,0.6663348920435356,7.605782398979094e-06,4
24,0.0,4.024,0.6662794556583829,9.071969501843929e-06,4
24,0.0,4.052,0.6662073206750341,2.0301716523685485e-05,4
24,0.0,4.08,0.6661703274850758,2.2473277464970453e-05,4
24,0.0,4.108,0.6660798105003378,1.769478608164924e-05,4
24,0.0,4.136,0.6660425460796189,1.7534544047483186e-05,4
24,0.0,4.164,0.6658694504314031,3.35898604979611e-05,4
24,0.0,4.192,0.6657423242287293,3.742025694975643e-05,4
24,0.0,4.22,0.6655578738343492,3.568306416609595e-05,4
24,0.0,4.248,0.6652644920666038,2.486721104322196e-05,4
24,0.0,4.276,0.6648348751024735,9.67764969777687e-05,4
24,0.0,4.304,0.6643387219901538,0.0001044155098405275,4
24,0.0,4.332,0.6635130135169022,0.00011353459694620137,4
24,0.0,4.36,0.6621844114337813,0.00039669509603690745,4
24,0.0,4.388,0.6609081403476882,0.0002411722881517423,4
24,0.0,4.416,0.6589960682611706,0.0004882768618307828,4
24,0.0,4.444,0.6463494871154593,0.003435494300336269,4
24,0.0,4.472,0.5978440085321939,0.02813508844449832,4
24,0.0,4.5,0.5492313636629063,0.02937597241307232,4
24,0.0,4.528,0.2973896028885108,0.09580964047512047,4
24,0.0,4.556,0.3087806608498451,0.052018098549060636,4
24,0.0,4.584,0.16051676909967427,0.05211943980190645,4
24,0.0,4.612,0.20259452310766013,0.061161858818940186,4
24,0.0,4.64,0.10205796397374961,0.07984624702694598,4
24,0.0,4.668,0.05432978477933645,0.06365440896023206,4
24,0.0,4.696,0.08182087055579437,0.024111310360410834,4
24,0.0,4.724,-0.01849415013740696,0.059485095106106174,4
24,0.0,4.752,-0.055859823289428234,0.08257322263685732,4
24,0.0,4.78,0.07320538121173217,0.04299669246157217,4
24,0.0,4.808,-0.10943101625224702,0.08104543344035446,4
24,0.0,4.836,0.04395088573556394,0.038037712850083324,4
24,0.0,4.864,0.03787841686887938,0.02734729403986482,4
24,0.0,4.892,0.013939476807763057,0.01224088441197927,4
24,0.0,4.92,0.02786731630914771,0.0321425369475685,4
24,0.0,4.948,0.060678709517348745,0.03393039548676923,4
24,0.0,4.976,0.042719803155139846,0.05378751189980877,4
24,0.0,5.004,-0.008070704681386653,0.026306216113746363,4
24,0.0,5.032,0.007880352862939921,0.0868794980268303,4
24,0.0,5.06,0.059934522797598505,0.04985148191704944,4
24,0.0,5.088,0.03679432905327845,0.0165554737541256,4
24,0.0,5.116,-0.09866176689281314,0.06470983099164779,4
24,0.0,5.144,-0.0037746703717257413,0.05632181655322986,4
24,0.0,5.172,-0.0021819867764645007,0.07457243411702438,4
24,0.0,5.2,0.02220790968180958,0.07333037878221718,4
28,0.0,3.8,0.6665627805628038,3.563005665667533e-06,4
28,0.0,3.828,0.6665505300987579,1.9425775091006634e-06,4
28,0.0,3.856,0.6665397085408942,1.920588891990424e-06,4
28,0.0,3.884,0.6665330938380095,4.5470599683898e-06,4
28,0.0,3.912,0.6665092656838114,4.7714087974432475e-06,4
28,0.0,3.94,0.6664968665406619,5.735078594441145e-06,4
28,0.0,3.968,0.6664722192385524,3.512229596478902e-06,4
28,0.0,3.996,0.6664555084220516,5.513813535196369e-06,4
28,0.0,4.024,0.6664207149044684,1.1843242652657372e-06,4
28,0.0,4.052,0.666380548117583,2.3395177716550046e-06,4
28,0.0,4.08,0.6663580742945889,8.885922333370314e-06,4
28,0.0,4.108,0.6662857552491368,1.2081178684604033e-05,4
28,0.0,4.136,0.6662394000127456,1.1245236626179502e-05,4
28,0.0,4.164,0.6661569623053253,1.42711164289342e-05,4
28,0.0,4.192,0.6660565624651904,2.3314367825574148e-05,4
28,0.0,4.22,0.6659012247856584,4.773895066376593e-05,4
28,0.0,4.248,0.6657592100264264,6.594706476948722e-05,4
28,0.0,4.276,0.6655336337860356,6.42288779313194e-05,4
28,0.0,4.304,0.6651210067539142,0.00010075362733082713,4
28,0.0,4.332,0.6648350792539928,4.780810689197816e-05,4
28,0.0,4.36,0.6641079939039286,6.59297533062037e-05,4
28,0.0,4.388,0.662743908304105,0.00018674396690666109,4
28,0.0,4.416,0.6605183366376617,0.0011354806122111142,4
28,0.0,4.444,0.6554109996938269,0.0011116145013684588,4
