n,p_removed,realizations,tmin,tmax,steps,warmup,samples
24,0.0,4,3.8,5.2,51,4000,3000
24,0.1,12,3.5,4.8,51,4000,3000
24,0.2,12,3.0,4.3,51,4000,3000
24,0.3,12,2.4,3.8,51,4000,3000
24,0.4,12,1.8,3.2,51,4000,3000
24,0.5,12,1.3,2.7,51,4000,3000
28,0.0,4,3.8,5.2,51,4000,3000
28,0.1,12,3.5,4.8,51,4000,3000
28,0.2,12,3.0,4.3,51,4000,3000
28,0.3,12,2.4,3.8,51,4000,3000
28,0.4,12,1.8,3.2,51,4000,3000
28,0.5,12,1.3,2.7,51,4000,3000
32,0.0,4,3.8,5.2,51,4000,3000
32,0.1,12,3.5,4.8,51,4000,3000
32,0.2,12,3.0,4.3,51,4000,3000
32,0.3,12,2.4,3.8,51,4000,3000
32,0.4,12,1.8,3.2,51,4000,3000
32,0.5,12,1.3,2.7,51,4000,3000
