p_removed,n,realization,graph_file,sweep_file,mean_degree,n_edges,seed,tmin,tmax,steps,warmup,samples
0.0,24,0,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p000/diluted_N24_p000_r000.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p000/diluted_N24_p000_r000_sweep.csv,6.0,41472,1000042,3.8,5.2,51,4000,3000
0.0,24,1,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p000/diluted_N24_p000_r001.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p000/diluted_N24_p000_r001_sweep.csv,6.0,41472,1001051,3.8,5.2,51,4000,3000
0.0,24,2,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p000/diluted_N24_p000_r002.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p000/diluted_N24_p000_r002_sweep.csv,6.0,41472,1002060,3.8,5.2,51,4000,3000
0.0,24,3,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p000/diluted_N24_p000_r003.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p000/diluted_N24_p000_r003_sweep.csv,6.0,41472,1003069,3.8,5.2,51,4000,3000
0.1,24,0,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p100/diluted_N24_p100_r000.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p100/diluted_N24_p100_r000_sweep.csv,5.400028935185185,37325,1001042,3.5,4.8,51,4000,3000
0.1,24,1,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p100/diluted_N24_p100_r001.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p100/diluted_N24_p100_r001_sweep.csv,5.400028935185185,37325,1002051,3.5,4.8,51,4000,3000
0.1,24,2,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p100/diluted_N24_p100_r002.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p100/diluted_N24_p100_r002_sweep.csv,5.400028935185185,37325,1003060,3.5,4.8,51,4000,3000
0.1,24,3,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p100/diluted_N24_p100_r003.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p100/diluted_N24_p100_r003_sweep.csv,5.400028935185185,37325,1004069,3.5,4.8,51,4000,3000
0.1,24,4,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p100/diluted_N24_p100_r004.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p100/diluted_N24_p100_r004_sweep.csv,5.400028935185185,37325,1005078,3.5,4.8,51,4000,3000
0.1,24,5,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p100/diluted_N24_p100_r005.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p100/diluted_N24_p100_r005_sweep.csv,5.400028935185185,37325,1006087,3.5,4.8,51,4000,3000
