n,p_removed,realization,seed,tmin,tmax,steps,warmup,samples,mean_degree,n_edges,graph_file,sweep_file,completed_at
32,0.0,0,1000042,3.8,5.2,51,4000,3000,6.0,98304,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N32/raw/dilution/graphs/N32/p000/diluted_N32_p000_r000.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N32/raw/dilution/sweeps/N32/p000/diluted_N32_p000_r000_sweep.csv,2026-03-08T22:39:54.388256+00:00
32,0.0,2,1002060,3.8,5.2,51,4000,3000,6.0,98304,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N32/raw/dilution/graphs/N32/p000/diluted_N32_p000_r002.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N32/raw/dilution/sweeps/N32/p000/diluted_N32_p000_r002_sweep.csv,2026-03-08T22:39:54.555768+00:00
32,0.0,3,1003069,3.8,5.2,51,4000,3000,6.0,98304,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N32/raw/dilution/graphs/N32/p000/diluted_N32_p000_r003.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N32/raw/dilution/sweeps/N32/p000/diluted_N32_p000_r003_sweep.csv,2026-03-08T22:39:54.642191+00:00
32,0.0,1,1001051,3.8,5.2,51,4000,3000,6.0,98304,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N32/raw/dilution/graphs/N32/p000/diluted_N32_p000_r001.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N32/raw/dilution/sweeps/N32/p000/diluted_N32_p000_r001_sweep.csv,2026-03-08T22:39:55.483084+00:00
32,0.1,1,1002051,3.5,4.8,51,4000,3000,5.4000244140625,88474,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N32/raw/dilution/graphs/N32/p100/diluted_N32_p100_r001.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N32/raw/dilution/sweeps/N32/p100/diluted_N32_p100_r001_sweep.csv,2026-03-08T22:47:10.664876+00:00
32,0.1,2,1003060,3.5,4.8,51,4000,3000,5.4000244140625,88474,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N32/raw/dilution/graphs/N32/p100/diluted_N32_p100_r002.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N32/raw/dilution/sweeps/N32/p100/diluted_N32_p100_r002_sweep.csv,2026-03-08T22:47:12.360217+00:00
32,0.1,0,1001042,3.5,4.8,51,4000,3000,5.4000244140625,88474,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N32/raw/dilution/graphs/N32/p100/diluted_N32_p100_r000.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N32/raw/dilution/sweeps/N32/p100/diluted_N32_p100_r000_sweep.csv,2026-03-08T22:47:12.534918+00:00
32,0.1,3,1004069,3.5,4.8,51,4000,3000,5.4000244140625,88474,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N32/raw/dilution/graphs/N32/p100/diluted_N32_p100_r003.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N32/raw/dilution/sweeps/N32/p100/diluted_N32_p100_r003_sweep.csv,2026-03-08T22:47:13.584298+00:00
32,0.1,4,1005078,3.5,4.8,51,4000,3000,5.4000244140625,88474,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N32/raw/dilution/graphs/N32/p100/diluted_N32_p100_r004.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N32/raw/dilution/sweeps/N32/p100/diluted_N32_p100_r004_sweep.csv,2026-03-08T22:54:29.484402+00:00
32,0.1,5,1006087,3.5,4.8,51,4000,3000,5.4000244140625,88474,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N32/raw/dilution/graphs/N32/p100/diluted_N32_p100_r005.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N32/raw/dilution/sweeps/N32/p100/diluted_N32_p100_r005_sweep.csv,2026-03-08T22:54:31.699849+00:00
32,0.1,6,1007096,3.5,4.8,51,4000,3000,5.4000244140625,88474,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N32/raw/dilution/graphs/N32/p100/diluted_N32_p100_r006.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N32/raw/dilution/sweeps/N32/p100/diluted_N32_p100_r006_sweep.csv,2026-03-08T22:54:33.493225+00:00
32,0.1,7,1008105,3.5,4.8,51,4000,3000,5.4000244140625,88474,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N32/raw/dilution/graphs/N32/p100/diluted_N32_p100_r007.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N32/raw/dilution/sweeps/N32/p100/diluted_N32_p100_r007_sweep.csv,2026-03-08T22:54:34.727931+00:00
